id,parcel_id,owner
28516,20213053900000001,[]
33337,20213053900000002,[]
40058,30213286120101000,[]
40059,30213286120102000,[]
40060,30213286120103000,[]
40061,30213286120115100,[]
40062,30213286120114100,[]
40063,30213286120201000,[]
40064,30213286120202000,[]
40065,30213286120203000,[]
40066,30213286120216000,[]
40067,30213286120215000,[]
40068,30213286120213100,[]
40069,30213286120301000,[]
40070,30213286120302000,[]
40071,30213286120303000,[]
40072,30213286120316000,[]
40073,30213286120315000,[]
40074,30213286120314000,[]
40075,30213286120401000,[]
40076,30213286120402000,[]
40077,30213230160000000,[]
40078,30213227640400100,[]
40079,30213227640400700,[]
40080,30213227640400500,[]
40081,30213227640400600,[]
40082,30213227640400200,[]
40083,30213227640400400,[]
40084,30213227660500300,[]
40085,30213227660500400,[]
40086,30213227660500000,[]
40087,30213227660500100,[]
40088,30213227660500200,[]
40089,30213200000002400,[]
40090,30213200000000100,[]
40091,30213294180401000,[]
40092,30213294180402000,[]
40093,30213294180403000,[]
40094,30213294180404000,[]
40095,30213294180405000,[]
40096,30213294180406000,[]
40097,30213217080601000,[]
40098,30213217080602000,[]
40099,30213217080603000,[]
40100,30213217080604000,[]
40101,30213217080605000,[]
40102,30213217080606000,[]
40103,30213217080607000,[]
40104,30213217080608000,[]
40105,30213217080609000,[]
40106,30213217080610000,[]
40107,30213217080611000,[]
40108,30213217080612000,[]
40109,30213217080613000,[]
40110,30213217080401000,[]
40111,30213217080614000,[]
40112,30213217080421000,[]
40113,30213217080615000,[]
40114,30213217080501000,[]
40115,30213217080618100,[]
40116,30212921370601000,[]
40117,30212921370106000,[]
40118,30212921370105000,[]
40119,30212921370103100,[]
40120,30212921370102100,[]
40121,30212921370102000,[]
40122,30212995700301000,[]
40123,30212995700101000,[]
40124,30212935790901000,[]
40125,30212935790818100,[]
40126,30212935790817100,[]
40127,30212935790816100,[]
40128,30212935790815000,[]
40129,30212935790814000,[]
40130,30212935790813000,[]
40131,30212935790812000,[]
40132,30212935790811000,[]
40133,30212935790810000,[]
40134,30212935790801000,[]
40135,30212935790113000,[]
40136,30212935790111000,[]
40137,30212935790110000,[]
40138,30212935790109000,[]
40139,30212935790108000,[]
40140,30212935790107000,[]
40141,30212935790106000,[]
40142,30212935790105000,[]
40143,30212935780701000,[]
40144,30212935790104000,[]
40145,30212935780120000,[]
40146,30212935780119000,[]
40147,30212935780118000,[]
40148,30212935780116000,[]
40149,30212935780115000,[]
40150,30212935780114000,[]
40151,30212935780113000,[]
40152,30212935780112000,[]
40153,30212935780111000,[]
40154,30212935780110000,[]
40155,30212935780109000,[]
40156,30212935780108000,[]
40157,30212935780107000,[]
40158,30212993620115000,[]
40159,30212993620114000,[]
40160,30212993620113000,[]
40161,30212993620112000,[]
40162,30212993620111000,[]
40163,30212993620110000,[]
40164,30212993620109000,[]
40165,30212993620108000,[]
40166,30212935790809000,[]
40167,30212921370602000,[]
40168,30212995700102000,[]
40169,30212935790902000,[]
40170,30212935790802000,[]
40171,30212935780702000,[]
40172,30212993620116000,[]
40173,30212993620107000,[]
40174,30212921370603000,[]
40175,30212995700103000,[]
40176,30212935790903000,[]
40177,30212921370206000,[]
40178,30212921370204100,[]
40179,30212921370204000,[]
40180,30212921370203000,[]
40181,30212921370202000,[]
40182,30212921370201000,[]
40183,30212995700401000,[]
40184,30212935780106000,[]
40185,30212921370604000,[]
40186,30212993620117100,[]
40187,30212993620117000,[]
40188,30212995700104000,[]
40189,30212935790904000,[]
40190,30212935780105000,[]
40191,30212921370207000,[]
40192,30212921370207100,[]
40193,30212921370208100,[]
40194,30212921370210000,[]
40195,30212921370211000,[]
40196,30212921370212000,[]
40197,30212995700402000,[]
40198,30212921370605000,[]
40199,30212993620118000,[]
40200,30212935780104000,[]
40201,30212921370606000,[]
40202,30212995700201000,[]
40203,30212935791001000,[]
40204,30212993620119000,[]
40205,30212935791003000,[]
40206,30212935780103000,[]
40207,30212921370306000,[]
40208,30212921370305000,[]
40209,30212921370304000,[]
40210,30212921370303000,[]
40211,30212921370607000,[]
40212,30212921370302000,[]
40213,30212921370301000,[]
40214,30212995700501000,[]
40215,30212993620120000,[]
40216,30212995700202000,[]
40217,30212935780102000,[]
40218,30212935791004000,[]
40219,30212921370608000,[]
40220,30212993620121000,[]
40221,30212995700203000,[]
40222,30212921370310000,[]
40223,30212921370308000,[]
40224,30212921370309000,[]
40225,30212921370311000,[]
40226,30212921370312000,[]
40227,30212995700502000,[]
40228,30212921370307000,[]
